rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,primeclass,conn_lvl,glac_name,is_rgi6,cenlon,cenlat,termlon,termlat,area_km2,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,lmax_m,surge_type
RGI2000-v7.0-G-01-04415,01,01-02,G209127E63090N,397041,624,2010-09-12T00:00:00,0,0,,1,-150.87227355298012,63.090541,,,0.05874160829662,,,,,,,,3.0
RGI2000-v7.0-G-01-04416,01,01-02,G209080E63100N,397004,624,2010-09-12T00:00:00,0,0,,1,-150.91551510016978,63.100066999999996,,,0.890351535885769,,,,,,,,3.0
RGI2000-v7.0-G-01-04417,01,01-02,G209100E63111N,397022,624,2010-09-12T00:00:00,0,0,,1,-150.89737513037437,63.110338999999996,,,0.879983093455606,,,,,,,,3.0
RGI2000-v7.0-G-01-04418,01,01-02,G209089E63116N,397016,624,2010-09-12T00:00:00,0,0,,1,-150.91198265074283,63.115573499999996,,,0.158108349461129,,,,,,,,3.0
RGI2000-v7.0-G-01-04419,01,01-02,G209089E63120N,397017,624,2010-09-12T00:00:00,0,0,,1,-150.90986706683827,63.120682,,,0.219672397403241,,,,,,,,3.0
RGI2000-v7.0-G-01-04420,01,01-02,G209113E63132N,397032,624,2010-09-12T00:00:00,0,0,,1,-150.8890835812275,63.1323545,,,0.441107763529977,,,,,,,,3.0
RGI2000-v7.0-G-01-04421,01,01-02,G209111E63139N,397030,624,2010-09-12T00:00:00,0,0,,1,-150.8884777225877,63.1387475,,,0.202662198716697,,,,,,,,3.0
RGI2000-v7.0-G-01-04422,01,01-02,G209133E63151N,397044,624,2010-09-12T00:00:00,0,0,,1,-150.8700599787209,63.150116,,,0.295438303385259,,,,,,,,3.0
RGI2000-v7.0-G-01-04423,01,01-02,G209126E63192N,397040,624,2010-09-12T00:00:00,0,0,,1,-150.87454048724487,63.1911775,,,0.507885890557423,,,,,,,,3.0
RGI2000-v7.0-G-01-04424,01,01-02,G209117E63194N,397035,624,2010-09-12T00:00:00,0,0,,1,-150.885348086355,63.1978245,,,2.06108703248749,,,,,,,,3.0
RGI2000-v7.0-G-01-04425,01,01-02,G209106E63195N,397026,624,2010-09-12T00:00:00,0,0,,1,-150.89357769444445,63.1947115,,,0.38819428712095,,,,,,,,3.0
RGI2000-v7.0-G-01-04426,01,01-02,G209104E63189N,397024,624,2010-09-12T00:00:00,0,0,,1,-150.89787677222114,63.189469,,,0.465179547183944,,,,,,,,3.0
RGI2000-v7.0-G-01-04429,01,01-02,G209055E63170N,396984,624,2010-09-12T00:00:00,0,0,,1,-150.9487790819066,63.1714135,,,0.69644608675645,,,,,,,,3.0
RGI2000-v7.0-G-01-04430,01,01-02,G209025E63166N,396962,624,2010-09-12T00:00:00,0,0,,1,-150.97588002242497,63.1658975,,,0.215483650000712,,,,,,,,3.0
